Customer Code,Customer Name,Country Name,Employee ,Customer Type
C2540,SUSESEA BULK PTE LTD,SINGAPORE,CHONG HAN,Potential
C1270,SVITZER,UNITED ARAB EMIRATES,Unassigned,Potential
C1733,Svitzer Middle East Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
C0426,SVITZER WIJSMULLER MIDDLE EAST LIMITED,UNITED ARAB EMIRATES,KUROSH,Potential
V0160,SWALS EXIM PVT LTD,SINGAPORE,Unassigned,Potential
C1616,Swedia,SWEDEN,Unassigned,Potential
C1105,Swire Pacific Offshore (Dubai) LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1945,Swire Pacific Offshore Dubai LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1471,Swiss Chem Tankers,SWITZERLAND,Unassigned,Potential
C0571,SWISS SINGAPORE,UNITED ARAB EMIRATES,Unassigned,Potential
C0400,SWISSMARINE SERVICES SA,SWITZERLAND,Unassigned,Potential
C2512,SYNERGY MARINE PTE LTD,SINGAPORE,VALERIO,Potential
C1722,Synergy Subsea Engineering LLC (UAE),UNITED ARAB EMIRATES,Unassigned,Potential
C2294,SynThai Marine Co Ltd.,THAILAND,Unassigned,Potential
C2293,"Synthai Marine Co.,Ltd.",THAILAND,Unassigned,Potential
C0428,TAG OFFSHORE LIMITED,INDIA,Unassigned,Potential
C1222,TAHMEEL GROUP,UNITED ARAB EMIRATES,Unassigned,Potential
C0403,TAI CHONG CHEANG STEAMSHIP COMPANY (HK) LIMITED (TCC HONG KONG),HONG KONG,Unassigned,Potential
C0397,TAIYO SANGYO TRADING & MARINE,JAPAN,Unassigned,Potential
C0609,TAIYOUNG SHIPPING CO LTD,,Unassigned,Potential
C1106,Taleveras Petroleum Trading DMCC,UNITED ARAB EMIRATES,Unassigned,Potential
C1483,Tallink,ESTONIA,Unassigned,Potential
C1162,TAMROSE VENTURES LIMITED,NIGERIA,Unassigned,Potential
C2588,"TAN BINH CO., LTD",VIETNAM,CHONG HAN,Potential
C1469,Tango shipping,TURKEY,Unassigned,Potential
C1410,Tankerska Plovidba,CROATIA,Unassigned,Potential
C1618,Tarbit shipping,SWEDEN,Unassigned,Potential
C1107,Target Engineering Construction Co LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1799,Target Engineering Constuction Company LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C0185,TASCO SHIPPING CO LTD,THAILAND,Unassigned,Potential
C1108,Tasweeq,UNITED ARAB EMIRATES,Unassigned,Potential
C0765,TATA NYK SHIPPING PTE LTD,SINGAPORE,WILL ZHANG,Potential
C0498,TBS SHIPPING & SERVICES,INDIA,Unassigned,Potential
C1464,T-Bulk Srl,ITALY,Unassigned,Potential
C0999,TEAM SHIPPING CO LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C2150,Team Shipping Company,,Unassigned,Potential
C0423,TECHNOMAR SHIPPING INCORPORATED,GEORGIA,Unassigned,Potential
C1109,TecWel LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1416,Teekay Tanker Services,UNITED KINGDOM,Unassigned,Potential
C1190,TEHAMA SHIPPING,UNITED ARAB EMIRATES,Unassigned,Potential
C1617,Terntank,SWEDEN,Unassigned,Potential
C0655,TEXEL CV,NETHERLANDS,Unassigned,Potential
C2663,Thai Oil Public Company Limited,THAILAND,KAREN,Potential
C0187,"THAI QUALITY TANKERS CO., LTD",THAILAND,Unassigned,Potential
C0830,"THAIOIL MARINE CO.,LTD",THAILAND,Unassigned,Potential
C2138,The Barrel Oil Pte Ltd,,SATNAM,Potential
C2098,The Cool Pool,MONACO,Unassigned,Potential
C0392,THE GREAT EASTERN SHIPPING COMPANY LIMITED,INDIA,Unassigned,Potential
C0674,THE MAERSK COMPANY LIMITED,UNITED KINGDOM,Unassigned,Potential
C1110,The Owners of M/V Perseverance,UNITED ARAB EMIRATES,Unassigned,Potential
C1111,The Saudi Company of Chemical Trading Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
C1112,The Shipping Corp Of Saudi Arabia Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
C0289,THE SHIPPING CORPORATION OF INDIA LIMITED,INDIA,Unassigned,Potential
V0653,The Shipping Corporation of Saudi Arabia Ltd,SAUDI ARABIA,KUROSH,Potential
